Symbol,Name,Article,Time,Body,Tokenize,Label
TGT,Target Corporation,3:Target's $7 billion spending plan still leaves some question marks,"Wednesday,  1 Mar 2017 |  5:56  AM ET","It's Target's turn to feel the pain. Nearly a year and a half after Wal-Mart said investments into its stores and employees would dramatically cut into its profits, a similar announcement from Target on Tuesday garnered the same reaction on Wall Street. After CEO Brian Cornell outlined plans for the company to spend $7 billion in cash over the next three years — and forfeit $1 billion in annual operating profit as it lowers prices and invests in stores — the retailer's shares had their worst day since 2008. The sell-off mimicked the one experienced by Wal-Mart in October 2015, when its stock recorded its steepest daily decline in 27 years. It also underscored how much less patient investors can be when bricks-and-mortar retailer invest in their businesses versus online players like Amazon. Yet while investors seemed skeptical about Target's plans, punishing its shares by more than 12 percent, analysts agreed the company is making the right investments for the long term. That doesn't mean, however, that all of its lingering issues have been solved, as traffic and the grocery business remain critical headwinds for the retailer. ""What they're doing is right, but the devil of the details is always going to be in the execution,"" Craig Johnson, president of Customer Growth Partners, told CNBC. ""The jury's still out as to whether they have a detailed plan to build back traffic."" While many of its competitors are shuttering locations, Target is dialing up its investments in its existing stores. The company plans to renovate some 600 stores over the next three years, including a more elevated presentation of its apparel offerings. Some of these stores haven't been upgraded in a decade, Cornell said. ""We can't capture that market share if we're presenting an old, tired store,"" the CEO said. Meanwhile, Target will accelerate the rollout of its small-format stores that allow it to enter dense urban markets. While these stores carry a higher price tag than its rural, big-box locations, they deliver two times the sales productivity as the average store in its fleet, Cornell said. Importantly, they also serve as another distribution hub for the company's online orders, Moody's analyst Charlie O'Shea said. Target's other planned investments into the supply chain and private label brands also seem logical, as it grows online sales and looks to differentiate its product, O'Shea said. While there's always a risk in creating new brands — particularly as Target is banking on 12 labels to add more than $10 billion in sales over two years —  they should help bring traffic into Target stores, O'Shea said. The retailer's Cat &amp; Jack children's brand, which launched in July, is on pace to reach $1 billion in sales in one year, Cornell said. Still, several challenges remain. Traffic in Target stores has been weak for several quarters, as its decision to sell the pharmacy business to CVS reduced the number of repeat visits to its shops. That's because shoppers have been reluctant or slow to switch their prescriptions over. While Cornell said traffic to its pharmacies has improved in recent quarters, it's facing stiffer competition from Wal-Mart. What's more, CVS was recently cut out of deals that competitor Walgreens made with pharmacy benefits managers, which are expected to result in more than 40 million lost prescriptions. Meanwhile, Target's grocery department continues to be a point of weakness. Though Cornell said the company is not standing idly by when it comes to the category, it's been slow to roll out visible changes. The CEO added that it's not in Target's DNA to be a full-service grocer, and instead views food as an additive purchase for shoppers. While that may be true, it means Target will need to find other ways of bringing shoppers into its stores. In the meantime, Target has increased the frequency of shipments in fresh produce and will roll out some of the changes it's been testing in LA and Dallas.  Grocery accounts for roughly one-fifth of Target's annual revenue. ""Food will always be challenged at Target, at least for the foreseeable future,"" O'Shea said. Analysts were also cautious about Target's decision to challenge Wal-Mart on price, noting that Wal-Mart's scale and vendor relationships will make it a tough battle. Meanwhile, they'll need to increase the speed with which they sell products to help make up for the differential. On the plus side, O'Shea said that lowering prices on food and other household essentials should help Target drive traffic to its stores, while still allowing it to charge a premium for its exclusive apparel and home goods products. ""Reverting to everyday low prices will get them off this promotional merry-go-round that they've been on,"" he said.","[It, Target, turn, feel, pain, Nearly, half, Wal, Mart, said, investment, store, employee, dramatically, cut, profit, similar, announcement, Target, Tuesday, garnered, It, Target, turn, feel, pain, Nearly, half, Wal, Mart, said, investment, store, employee, dramatically, cut, profit, similar, announcement, Target, Tuesday, garnered, reaction, Wall, Street, After, CEO, Brian, Cornell, outlined, plan, company, spend, year, forfeit, operating, profit, lower, price, steepest, decline, year, It, underscored, patient, investor, brick, mortar, retailer, invest, business, versus, online, player, like, Amazon, Yet, investor, skeptical, Target, plan, punishing, share, percent, analyst, agreed, company, making, right, investment, term, That, mean, lingering, issue, solved, traffic, grocery, business, going, ...]",1.0
NKE,"Nike, Inc.","3:For some, sneakers become both a market and an addiction","Saturday, 25 Feb 2017 | 11:02  AM ET"," For most, the annual NBA All-Star Weekend that took place this week is a celebration of the best professional basketball players in the world. Yet, for others, those three consecutive days in the middle of February often mean much more. For so-called ""sneaker heads,"" it's a time that coincides with some of the most anticipated sneaker releases from their favorite brands and players. Earlier this week, NBA superstars like LeBron James, Stephen Curry and James Harden were among those players flaunting All-Star themed colorways and versions of their own sneakers on the court in New Orleans — under the umbrella of big name shoe sponsors like Nike, Under Armour and Adidas. This weekend, Nike is expected to release two retro versions from the wildly popular ""Air Jordan"" line named after basketball legend Michael Jordan. The sneaker industry has exploded into a full-fledged marketplace where a colossus like Nike can reap nearly $8 billion in quarterly brand sales, based in part on demand for designer sneakers. Meanwhile, a pair can be purchased and easily resold on the secondary market for multiples of its original price.  It's a unique economy filled with avid collectors, product-flippers, scam artists, thieves, automated bots and entrepreneurs that seek to cash inon a market with massive demand and potentially high returns. Across the country, these coveted sneaker drops often trigger fervent, relentless traffic to countless retail outlets and computer screens, where enthusiasts lie in wait for the shoe bounty to arrive. It's all very much in keeping with what one particular sneaker zealot told CNBC last year was a ""culture"" — one that comes with its fair share of drawbacks. ""I don't want to speak on behalf of all sneaker heads, but I think a lot of it is appreciation for the shoe,"" Sam Sheffer, a 26-year-old creative producer for Mashable, said. ""The shoes looks cool, and they look good on feet, and it feels good having a collection of dead stock shoes."" Looking cool comes at a substantial cost, however, as many top line products like Air Jordans, Kanye West's ""Yeezy Boost"" imprint and others retail for hundreds of dollars. On the secondary market, the value of those shoes tend to get inflated — sometimes by as much as four or five figures, depending on the year or the model of the sneaker. In pursuit of their passion, hardcore collectors like Sheffer operate surreptitiously in the cover of night, crouched in front of laptops and mobile devices — not unlike computer hackers. As it happens, they sometimes spend thousands of dollars, and countless hours, for shoes that may never even see the light of day. ""I have 25 pairs of shoes that I've never even put on my feet,"" Sheffer told CNBC. ""Those I bought for the intention of just holding onto, but if I ever one day want to [show off], I have 25 pairs of fresh kicks to choose from — or, in 15 years, if I need a couple thousand dollars, I can flip them easily.""  'It's a real thing' Still, being a sneaker chaser comes with more than its fair share of drawbacks. The culture thrives in the face of a rash of scams, robberies and violence that often provoke hard questions about whether materialism has run amok. Violence and tragedy have overshadowed the sneaker market for decades, at least since 1989, when Maryland ninth-grader Michael Eugene Thomas was shot and killed for his iconic Jordan sneakers. The incident would be profiled in Sports Illustrated's 1990 May issue, with the now infamous phrase, ""Your Sneakers or Your Life,"" across the cover. Five years ago, Nike announcement of a limited release of its $220 Air Foamposite One ""Galaxy"" shoe was enough to trigger riots at a mall in Orlando, where the NBA hosted that year's All-Star weekend. A pair of the sneakers subsequently appeared on eBay, where bids skyrocketed as high as $70,000. The environment underscores the single-mindedness that possesses some of the most avid sneaker collectors. That obsessiveness is sometimes a virtue, but for some can easily cross the line into vice. ""It started to get to a point where I started getting there at two or three o'clock in the morning, outside waiting till 9 a.m., when the store opened,"" Mark Stevenson told CNBC recently. The 28 year old spent nearly a decade as a self-made kingpin of sneaker-dom, amassing 125 pairs worth tens of thousands of dollars in resale value. Currently, Stevenson's extensive shoe collection has been whittled down to a comparatively modest 90 pairs, an expression of how two separate events influenced his early retirement from the sneaker game. Arriving at 11 p.m. at a sneaker store the night before for the release of the Jordan ""Grape"" 5s a few years ago, Stevenson and a friend got caught in a heavy downpour. They both eventually scored some of the last pairs, but developed severe colds from the rain. Walking out of the store, Stevenson and his friend were each offered $600 for the now sold out $150 sneakers — an offer which his friend accepted. ""That was the moment where I was like 'What are you doing?'"" said Stevenson. ""It was a terrible experience, and honestly, I could have caught pneumonia just for a pair of sneakers."" The turning point came several months later when, in another queue for an impending sneaker drop at 7 a.m., Stevenson witnessed a fellow sneaker head get robbed. At that moment, one thought ran through his mind: ""It's not worth it."" Stevenson told CNBC, ""I can't do this anymore, knowing that there was a chance you could get robbed. It's a real thing, you see it on the TV and the news all the time, people get shot and robbed over sneakers."" However, Stevenson's epiphany is rare in a world where the competition to obtain new and rare sneaker drops remains as fierce as ever. Just last week, Nike announced a ""Vachetta Tan"" version of the Foamposites, a $300 sneaker timed for release in conjunction with the 2017 All-Star game. On the secondary market, prices are already as being quoted high as $550.","[Curry, James, Harden, player, flaunting, All, Star, themed, colorways, version, sneaker, court, New, Orleans, umbrella, big, name, shoe, sponsor, like, Nike, Under, Armour, Adidas, This, weekend, Nike, expected, release, retro, version, wildly, popular, Air, Jordan, line, named, basketball, legend, Michael, Star, themed, colorways, version, sneaker, court, New, Orleans, umbrella, big, name, shoe, sponsor, like, Nike, Under, Armour, Adidas, This, weekend, Nike, expected, release, retro, version, wildly, popular, Air, Jordan, line, named, basketball, legend, Michael, Jordan, The, sneaker, industry, exploded, full, version, wildly, popular, Air, Jordan, line, named, basketball, legend, Michael, Jordan, The, sneaker, industry, exploded, full, fledged, marketplace, colossus, like, ...]",0.0
NYNY,"Empire Resorts, Inc.",,,,,
DD,E.I. du Pont de Nemours and Company,3:DuPont reports quarterly profit vs. year-earlier loss,"Tuesday, 24 Jan 2017 |  6:56  AM ET","  Chemicals and seeds producer DuPont said on Tuesday it expected its merger with Dow Chemical to close in the first half of the year, suggesting it will take longer than previously estimated to win approvals for the $130 billion deal.    Previously, the companies said they hoped to wrap up the transaction in the first quarter of 2017.    DuPont, which also reported a better-than-expected profit for the sixth straight quarter, said it continued to have constructive discussions with regulators in key jurisdictions.    This is at least the second time the two companies, which have been in talks with EU antitrust regulators to save their merger, have had to push back the expected completion period.   DuPont also said it expected its profit in the current quarter to fall 18 percent from a year earlier due to a charge of 15 cents per share related to the Dow deal.    Operating profit, which excludes one-time charges, is expected to rise about 8 percent, helped by cost cutting and increased seed deliveries.     Net income attributable to the company was $265 million, or 30 cents per share, in the fourth quarter ended Dec. 31, compared with a loss of $253 million, or 29 cents per share, in the same quarter of 2015.    Excluding items, the company earned 51 cents per share, beating analysts' average estimate of 42 cents, according to Thomson Reuters I/B/E/S.    Net sales fell 1.7 percent to $5.21 billion, missing analysts' average estimate of $5.29 billion. ","[ended, Dec, compared, loss, cent, share, Excluding, item, company, earned, cent, share, beating, analyst, average, estimate, cent, according, Thomson, Reuters, I, B, E, S, Net, percent, missing, analyst, average, estimate, compared, loss, cent, share, Excluding, item, company, earned, cent, share, beating, analyst, average, estimate, cent, according, Thomson, Reuters, I, B, E, S, Net, percent, missing, analyst, average, estimate]",0.0
MMYT,MakeMyTrip Limited,1:None,None,[],,
OMAA,OMAA,,,,,
ACM,AECOM,"1:Your first move for Friday, March 10","Friday, 10 Mar 2017 |  9:47  AM ET"," The ""Fast Money"" traders gave their final trades of the day. Steve Grasso is a buyer of PulteGroup Inc (PHM).  David Seaburg is a buyer of the Energy Select Sector SPDR ETF (XLE).  Dan Nathan is a seller of the Industrial Select Sector SPDR Fund (XLI). Guy Adami is a buyer of Aecom (ACM).  Trader disclosure: On March 9, 2017 the following stocks and commodities mentioned or intended to be mentioned on CNBC's ""Fast Money"" were owned by the ""Fast Money"" traders:  Guy Adami is long CELG, EXAS, GDX, INTC, Guy Adami's wife, Linda Snow, works at Merck. Opinions expressed by David Seaburg are solely his own and do not reflect the views and opinions of Cowen Group, Inc. David Seaburg and Cowen have a financial interest in EDIT. Diamond Offshore: an employee of Cowen and Company, LLC serves on the Board of Directors of Diamond Offshore STEVE GRASSO'S FIRM IS LONG: CUBA, DIA, HES, ICE, KDUS, MAT, MFIN, MJNA, MSFT, NE, RIG, SPY, TITXF, WDR, WPX, WLL, ZNGA. GRASSO IS LONG: CHK, EEM, EVGN, GDX, KBH, MJNA, MON, MU, OLN, PFE, PHM, QCOM, SNAP, SPY, T, TWTR. GRASSO'S KIDS OWN: EFA, EFG, EWJ, IJR, SPY. NO SHORTS. Dan Nathan is long SPY May put spread, VIX long March call spread, Dan Nathan is long SPY May put spread, VIX long March call spread, JNJ long APR puts, XLV long APR-June put spread, xli long June put spread",[],0.0
WAC,Walter Investment Management Corp.,,,,,
CBG,"CBRE Group, Inc.",2:Cramer Remix: The stock that lives and dies with the border tax,"Friday, 24 Feb 2017 |  7:16  PM ET","Warren Buffett taught Jim Cramer, and many other investors, that the stock market is made up of stocks and not completely tied to politics or the averages. That's why when the market pulled back from its remarkable run on Friday, Cramer wasn't calling for a top. Instead, he will be watching the moves that individual companies make next week. ""If individual companies report good numbers, they can buck the top calling trend provided the economy remains as strong as we have seen since the year began,"" the ""Mad Money"" host said. With this in mind, he outlined the stocks and events he will be watching next week. One stock on his radar recently is Constellation Brands, which has been impacted by the possibility of President Trump's proposed border tax. However, Cramer clarified that it has a unique edge because the Mexican beers it imports, like Corona and Modelo, can't be made in the U.S. A Mexican beer made in Flint, Michigan isn't a Mexican beer.  While the retail cohort has been struggling recently, Jim Cramer slammed the vitamin retailers as being worse off than the rest of the group. Two of the largest publicly-traded players in the space are GNC Holdings and Vitamin Shoppe, which both initially roared higher after coming public, but have fallen dramatically in the past two years. ""We've got two very ugly train wrecks here,"" Cramer said. Initially, these two stocks were loved, as more people became obsessed with losing weight, doing cleanses and taking supplements. Vitamin Shoppe went public in 2009 and GNC in 2011 and for the first few years the stocks were solid growth stories. But by the time 2015 came along, the companies started to struggle as nothing they did seemed to work and business slowed. Shares of live entertainment company Live Nation fell 3 percent on Friday, but Cramer thinks this was merely because the stock has run up so much and investors were profit-taking after the gains. Live Nation owns 167 venues in seven countries, along with four of the five largest music festivals in North America. It also has an artist management business and owns Ticketmaster. After the company delivered a small top and bottom line beat with solid guidance, Cramer spoke with CEO Michael Rapino so said he is very proud of the results. ""We had a spectacular record year, and the best news is it looks sitting here in February like we are on to 2017 on another continual strong year,"" Rapino said. Back in December, Cramer introduced investors to CBRE Group as a way to play real estate without actually owning a real estate investment trust. REITs tend to become less attractive when the Fed raises interest rates because their high yield suddenly becomes competition to higher yielding bonds. CBRE is the world's leading purveyor of commercial real estate services. Not only does it own property, but it also helps real estate investors by providing outsourced leasing, sales, appraisal, development and property management services. Since Cramer's recommendation, CBRE has rallied more than 20 percent. The company has also made three acquisitions. Cramer spoke with CBRE's CEO Bob Sulentic, who said he expects President Trump's agenda to be healthy for the economy moving forward. ""The talk about tax rates getting better is helpful, the talk about infrastructure spending is helpful, lower regulation could be really good for a lot of our clients particularly financial institutions so we're hopeful that good things will happen,"" Sulentic said. Cramer envies the rich hedge fund managers that have the audacity to call a top in the market. They never need to be right because the worst case scenario is that they are early. ""Top calling, like loving, means never having to say you're sorry,"" he said. Somehow the top-caller's position or performance never are discussed when they are calling a top. After all, that would be rude for Cramer to say: ""I see this is your fifth top call during a period when the Dow Jones Average has gone from 18,000 to 20,000 … and I have read your investment letters for years and you have repeatedly said the market is dangerous and you were underexposed to the market each time, so are you still underexposed, or short?"" But that is exactly what Cramer thinks is the right thing to do. In the Lightning Round, Cramer gave his take on a few stocks from callers: Palo Alto Networks: ""After speaking with Chuck Robbins last week from Cisco, I started to get a little bit more nervous about Palo Alto Networks and the aggressive way that Chuck is coming on in cybersecurity. So let's just say, not as strong as I felt one time ago before I spoke with Chuck."" Tanger Factory Outlet: ""Almost 4 percent yield and I think that is still an experiential opportunity when you go to those. By the way, in good times and in bad times, bingo.""","[Rapino, said, proud, result, We, spectacular, record, news, look, sitting, February, like, continual, Rapino, said, Back, December, Cramer, introduced, investor, CBRE, Group, play, estate, actually, owning, estate, investment, trust, REITs, tend, attractive, Fed, raise, interest, rate, yield, suddenly, competition, higher, said, proud, result, We, spectacular, record, news, look, sitting, February, like, continual, Rapino, said, Back, December, Cramer, introduced, investor, CBRE, Group, play, estate, actually, owning, estate, investment, trust, REITs, tend, attractive, Fed, raise, interest, rate, yield, suddenly, competition, higher, yielding, Group, play, estate, actually, owning, estate, investment, trust, REITs, tend, attractive, Fed, raise, interest, rate, yield, suddenly, competition, higher, yielding, ...]",1.0
AVAV,"AeroVironment, Inc.",,,,,
CADC,"China Advanced Construction Materials Group, Inc.",,,,,
BERY,BPC Acquisition Corp,,,,,
WR,WR,,,,,
YHOO,Yahoo! Inc.,8:Trump cast a shadow over Silicon Valley's 'Oscars' this year,"Tuesday,  7 Feb 2017 |  1:26  PM ET","Last night's Crunchies Awards was tech's annual big night out. It's a chance for the industry to honor Silicon Valley's finest and poke fun at itself. This year, though, the Crunchies got political. Actress Chelsea Peretti hosted the evening, and in her opening act she called Uber CEO Travis Kalanick a villain, adding that he has ""a good head of hair, bad head of brains."" Kalanick has faced pressure from employees, drivers and customers for working with the new administration in light of the executive order on immigration. He stepped down last week from President Donald Trump's economic advisory council. Twilio CEO Jeff Lawson won the award for Founder of the Year and used his acceptance speech to encourage other entrepreneurs to take responsibility. ""We do a lot of hard stuff. We tackle hard problems. We plow through walls. That's what we do for a living,"" he said. ""And the current political climate requires us to do this and tackle some new problems like we never have before."" In accepting the Include award, gender equality advocate and angel investor Ellen Pao said Trump won ""because we didn't have the inclusive policies at the tech companies that are today's sources of news."" A few years ago, a group of protesters showed up outside the Crunchies to speak out about greed and income inequality. Last year, taxi drivers demonstrated against Uber. This year, the movement came from within — from some of the highest profile names in Silicon Valley — as tensions rise between tech and President Trump. ","[lot, hard, stuff, We, tackle, hard, problem, We, plow, That, living, said, And, current, political, climate, requires, tackle, problem, like, In, accepting, Include, award, gender, equality, advocate, investor, Ellen, Pao, said, Trump, inclusive, policy, tech, company, today, source, news, A]",0.0
GEF.B,GEF.B,,,,,
GT,The Goodyear Tire & Rubber Company,2:None,None,[],,
FMS,Fresenius Medical Care Corporation,,,,,
CRWS,"Crown Crafts, Inc.",,,,,
CLX,Clorox Company (The),,,,,
BA,Boeing Company (The),"6:    
    These Trump trades have ‘more to go,’ Jefferies says","	  Thursday,  2 Mar 2017 | 11:38  AM ET","With the market reaching a record high Wednesday, Jefferies told clients there are still attractive investment opportunities in stocks that will benefit from President Donald Trump's economic agenda. ""Our latest foray into understanding the implications of potential policy change looks at the 'Trump' stocks in the 'commodity cyclical' sectors. These groups are levered to GDP and are likely beneficiaries of higher inflation ... Jefferies analysts have also identified stocks in these sectors with company specific attributes that may result in even better performance,"" the firm's research team wrote in a Thursday note titled ""Trump stocks in Trump sectors; market hasn't fully rewarded likely winners."" ""The short list of 'Trump stocks' selected by Jefferies analysts has outperformed the industrials and materials, but the analysts believe there's more to go if change is implemented,"" the report added.Here are some of the names that made the firm's recommended list.","[specific, attribute, result, better, performance, firm, research, team, wrote, Thursday, note, titled, Trump, Trump, sector, market, fully, rewarded, likely, winner, The, list, Trump, selected, Jefferies, analyst, outperformed, industrials, material, analyst, believe, go, change, implemented, report, added, Here, name, made, firm]",1.0
MVC,"MVC Capital, Inc.",,,,,
IBTX,"Independent Bank Group, Inc",,,,,
M,Macy's Inc,31:None,None,[],,
CBPX,"Continental Building Products, Inc.",,,,,
APA,Apache Corporation,,,,,
GJT,GJT,,,,,
PRK,Park National Corporation,,,,,
JHX,James Hardie Industries plc.,1:None,None,[],,
BOBE,"Bob Evans Farms, Inc.",1:None,None,[],,
TAP,Molson Coors Brewing  Company,,,,,
XOM,Exxon Mobil Corporation,18:None,None,[],,
BTX.WS,"BioTime, Inc.",,,,,
BRK.A,BRK.A,20:Warren Buffett: I like airlines because they just 'got a bad century out of the way',"Monday, 27 Feb 2017 |  7:01  AM ET","These aren't last century's airline companies, and that's why legendary investor Warren Buffett is spending money on them. ""It's true that the airlines had a bad 20th century. They're like the Chicago Cubs. And they got that bad century out of the way, I hope,"" Buffett said Monday on CNBC's ""Squawk Box."" ""The hope is they will keep orders in reasonable relationship to potential demand."" Buffett's Berkshire Hathaway revealed late last year in an SEC filing it had taken a stake in American Airlines, United Continental Holdings and Delta Air Lines. CNBC also reported that Berkshire had taken another stake in Southwest Airlines. Ironically, Buffett implied he had not taken a commercial flight in several years. ""We'll save that (conversation) for after the show,"" he said. The Oracle of Omaha also revealed why his holding firm previously hesitated to take significant positions in the industry. ""I think there have been almost 100 airline bankruptcies. I mean, that is a lot,"" he said. ""It's been a disaster for capital."" Southwest's stock has outperformed Delta, United and American shares since Berkshire's stakes were revealed, rising nearly 30 percent. UAL, LUV, AAL and DAL since Nov. 14  Source: FactSet Buffett, chairman and CEO of Berkshire Hathaway, joined ""Squawk Box"" to talk about a range of topics including his latest investments, the stock market and the economy, and the presidency of Donald Trump. ",[],0.0
DCOM,"Dime Community Bancshares, Inc.",,,,,
CARV,"Carver Bancorp, Inc.",,,,,
LNG,"Cheniere Energy, Inc.",4:Cramer Remix: Stop worrying! The Trump inauguration sell-off is not here to stay,"Thursday, 19 Jan 2017 |  6:53  PM ET","  Jim Cramer is in favor of the stock market getting a sell-off out of its system this week, so investors can stop freaking out.    In fact, he is sick and tired of hearing investors say that president-elect Donald Trump will be so unpredictable that the stock market cannot trust him.     ""It is like they are saying get ready for four years of non-stop turbulence … I am more confident than that,"" the ""Mad Money"" host said.    If earnings can still boost stocks and takeover rumors can drive them higher, then Cramer considers any pullback in the averages to create a buying opportunity.    Cramer blames Amazon for the success of Netflix and Tesla. In particular, it is why the short-sellers are losing billions of dollars every day on their bets against the two companies, he said.    ""They just don't understand the Amazon factor, meaning you may not see what is causing all the love for either company, that love is tangible and palpable,"" Cramer said.    It is also the reason why both stocks continue to break out to new levels that most didn't believe was possible.    ""Both Netflix and Tesla, like Amazon, require you to think outside the box of traditional fundamental analysis in order to accurately value their stocks,"" Cramer said.    So, blame the nontraditional love for Tesla and Netflix on Amazon. Cramer likes Amazon and Netflix, but remained cautious on Tesla. Just don't short these names, because that would be foolish in Cramer's book of rules.    Shares of DexCom surged 25 percent last Friday after the Centers for Medicare and Medicaid Services gave its latest device a favorable designation. Meaning, the government will soon offer Medicare and Medicaid reimbursement.    DexCom is the maker of continuous glucose monitoring systems that assist people with diabetes with reading blood sugar levels without having to prick their finger with a needle.    Cramer spoke with DexCom's CEO Kevin Sayer, who said he was also shocked at the news when he heard it.     ""I was at JPMorgan telling people 2018 at that conference, and so it's good to be wrong,"" Sayer said.    Since the election, Cramer has been dividing stocks into whether they are Trump stocks or non-Trump stocks. One stock that he thinks the market has misdiagnosed is PPG Industries, the specialty chemical company that makes proprietary glass, paints and coatings.    After Trump's victory, some investors worried that PPG could be under fire as a non-Trump stock because it purchased Mexican paint maker Comex for $2.3 billion just over two years ago. Cramer attributed this as the reason why the stock has lagged behind the other industrials post-election.    However, Cramer debunked those worries, as PPG has a localized manufacturing model—meaning, it makes goods in the same country that they sell them, including dozens of plans in the U.S. He spoke with PPG's chairman and CEO Mike McGarry, who said he is happy with the Comex business.    ""Our Comex business is a local business. We make paint local, we sell it local. We are also the largest painter of cars in Mexico and industrial products, and those stay in Mexico. And the ones that come in the U.S., if he [Trump] wants to change production around, we paint them in the U.S., too. So we are agnostic on where the cars are made,"" McGarry said.    In the Lightning Round, Cramer gave his take on various stocks from callers:    CVS Health Corp: ""CVS is a very good company, but you know what, it's bricks-and-mortar retail. My charitable trust owns Walgreens. We own it because of the combination of Rite Aid and Walgreens would be good. But otherwise we would not own it because brick-and-mortar retail is bearish.""    Cheniere Energy: ""The trade in Cheniere is over because the great Charif Souki, who got us in very low and then got us out very high is gone. I'm not a backer without Charif Souki.""","[Jim, Cramer, favor, market, getting, system, investor, stop, freaking, In, fact, sick, tired, hearing, investor, say, president, elect, Donald, Trump, unpredictable, market, trust, It, like, saying, get, year, non, sick, tired, hearing, investor, say, president, elect, Donald, Trump, unpredictable, market, trust, It, like, saying, get, year, non, stop, turbulence, I, confident, Mad, Money, host, said, If, earnings, boost, takeover, rumor, drive, higher, Cramer, considers, pullback, average, create, buying, opportunity, If, earnings, boost, takeover, rumor, drive, higher, Cramer, considers, pullback, average, create, buying, opportunity, Cramer, blame, Amazon, success, Netflix, Tesla, In, particular, losing, billion, dollar, bet, company, said, They, understand, Amazon, ...]",1.0
USAT,"USA Technologies, Inc.",,,,,
CCLP,CSI Compressco LP,,,,,
BAC,Bank of America Corporation,19:Bank of America's CEO worries about the real fallout of Brexit,"Thursday, 19 Jan 2017 |  6:03  AM ET","Bank of America CEO Brian Moynihan said Thursday that Europe's structural issues like Brexit could have consequences for the banking giant. ""[Brexit] is unprecedented obviously,"" Moynihan told a panel hosted by CNBC at the World Economic Forum in Davos, Switzerland. ""People have to remember the point about the synergy between the banks and the economy. It's also the bank's capital markets and the economy. And any time you divide that in pieces it's not as effective,"" he said when asked about the issues banks face after the U.K. quits the EU. ""If you want to have your road map on that, look at the rest of the world that divides it in pieces, and it's not as effective,"" he added. He explained that U.S. banks like his own and JPMorgan had been able to shed assets and rebalance since the strains faced during the global economic crisis due to ""unified capital markets"" that U.S. lenders rely on. He juxtaposed this against Europe, which he said was a worry without the same support networks as in the United States.  ""I get more worried more about the structural help for Europe, because if the European economy does well, Bank of America is going to do well and our corporate investment banking and our capital markets — and I think any time you divide things in two, they are a little less efficient, a little less investment, a little less certainty,"" he said. He called U.K. Prime Minister Theresa May's task on Brexit a ""tough sled"" and explained that the bank wouldn't make announcements on any adjustments or restructuring in the country until all the details have fully emerged. Follow CNBC International on Twitter and Facebook.  ","[Bank, America, CEO, Brian, Moynihan, said, Thursday, Europe, structural, issue, like, Brexit, consequence, banking, giant, Brexit, unprecedented, obviously, Moynihan, told, Bank, America, CEO, Brian, Moynihan, said, Thursday, Europe, structural, issue, like, Brexit, consequence, banking, giant, Brexit, unprecedented, obviously, Moynihan, told, panel, S, lender, rely, He, juxtaposed, Europe, said, worry, support, network, United, States, I, get, worried, structural, help, Europe, European, economy, Bank, America, going, corporate, investment, banking, capital, market, I, think, time, divide, thing, efficient, investment, certainty, said, He, called, U, lender, rely, He, juxtaposed, Europe, said, worry, support, network, United, States, I, get, worried, structural, help, Europe, European, economy, ...]",0.0
MACK,"Merrimack Pharmaceuticals, Inc.",,,,,
